OFFICIAL LIST OF ENROLLED STUDENTS,,,,,,,,,
2026-2027 1st Semester,,,,,,,,,
,,,,,,,,,
Subject Code,IT111,,,,,,,,
Subject Title,Introduction to Computing,,,,,,,,
Academic Units,3,Lab Units,1,,,,,,
Credit Units,3,Lab Hours,3,,,,,,
Mode,Lecture and Laboratory,,,,,,,,
Instructor,Maricel Suarez,,,,,,,,
Class Section,BSIT-1A,,,,,,,,
Year Level,1st Year,,,,,,,,
Schedule(s),M 1:00 PM - 3:00 PM,,,,,,,,
,,,,,,,,,
#,Student Number,Full Name,Program,Gender,Level,OR No.,Validation Date,Email,Contact
1,1011,"RIVERA, James",BSIT,M,1st Yr.,OR-1011,7/28/2025 11:47,1011@ustp.edu.ph,9170001011
2,1012,"LIM, Sofia",BSIT,F,1st Yr.,OR-1012,7/28/2025 11:50,1012@ustp.edu.ph,9170001012
3,1013,"TORRES, Miguel",BSIT,M,1st Yr.,OR-1013,7/28/2025 11:55,1013@ustp.edu.ph,9170001013
4,1014,"NGUYEN, Chloe",BSIT,F,1st Yr.,OR-1014,7/28/2025 12:01,1014@ustp.edu.ph,9170001014
5,1015,"ALCANTARA, Lucas",BSIT,M,1st Yr.,OR-1015,7/28/2025 12:10,1015@ustp.edu.ph,9170001015
6,1016,"SANTOS, Elena",BSIT,F,1st Yr.,OR-1016,7/28/2025 12:15,1016@ustp.edu.ph,9170001016
7,1017,"GARCIA, Mateo",BSIT,M,1st Yr.,OR-1017,7/28/2025 12:20,1017@ustp.edu.ph,9170001017
8,1018,"DIAZ, Olivia",BSIT,F,1st Yr.,OR-1018,7/28/2025 12:25,1018@ustp.edu.ph,9170001018
9,1019,"CRUZ, Gabriel",BSIT,M,1st Yr.,OR-1019,7/28/2025 12:30,1019@ustp.edu.ph,9170001019
10,1020,"REYES, Isabella",BSIT,F,1st Yr.,OR-1020,7/28/2025 12:35,1020@ustp.edu.ph,9170001020
11,1021,"LEE, Daniel",BSIT,M,1st Yr.,OR-1021,7/28/2025 12:40,1021@ustp.edu.ph,9170001021
12,1022,"MARTINEZ, Ava",BSIT,F,1st Yr.,OR-1022,7/28/2025 12:45,1022@ustp.edu.ph,9170001022
