1st Year Expo,,,,,,
6/18/2026,,,,,,
Room 301,,,,,,
Time,Team Name,Project,Adviser,Team Members,Chair,Panel Member 1
9:00AM-9:30AM,Team NovaPath,Unified Campus Gateway,Ricardo Fontanilla,James Rivera,Maricel Suarez,Jonathan Beltran
,,,,Sofia Lim,,
,,,,Miguel Torres,,
,,,,Chloe Nguyen,,
9:30AM-10:00AM,Team ByteForce,Cloud Locker Network,Ricardo Fontanilla,Lucas Alcantara,Maricel Suarez,Jonathan Beltran
,,,,Elena Santos,,
,,,,Mateo Garcia,,
,,,,Olivia Diaz,,
10:00AM-10:30AM,Team NexGen,Autonomous Map Guide,Ricardo Fontanilla,Gabriel Cruz,Maricel Suarez,Jonathan Beltran
,,,,Isabella Reyes,,
,,,,Daniel Lee,,
,,,,Ava Martinez,,
