OFFICIAL LIST OF ENROLLED STUDENTS,,,,,,,,,
2026-2027 ,2nd Semester,,,,,,,,
,,,,,,,,,
Subject Code,IT211,,,,,,,,
Subject Title,Data Structures and Algorithms,,,,,,,,
Academic Units,3,Lab Units,1,,,,,,
Credit Units,3,Lab Hours,3,,,,,,
Mode,Lecture and Laboratory,,,,,,,,
Instructor,Jonathan Beltran,,,,,,,,
Class Section,BSIT-2A,,,,,,,,
Year Level,2nd Year,,,,,,,,
Schedule(s),T 9:00 AM - 12:00 PM,,,,,,,,
,,,,,,,,,
#,Student Number,Full Name,Program,Gender,Level,OR No.,Validation Date,Email,Contact
1,2011,"KIM, Darren",BSIT,M,2nd Yr.,OR-2011,7/28/2025 11:47,2011@ustp.edu.ph,9170002011
2,2012,"CRUZ, Isabel",BSIT,F,2nd Yr.,OR-2012,7/28/2025 11:50,2012@ustp.edu.ph,9170002012
3,2013,"RAMOS, Noah",BSIT,M,2nd Yr.,OR-2013,7/28/2025 11:55,2013@ustp.edu.ph,9170002013
4,2014,"FERNANDEZ, Leah",BSIT,F,2nd Yr.,OR-2014,7/28/2025 12:01,2014@ustp.edu.ph,9170002014
5,2015,"LOPEZ, Nathan",BSIT,M,2nd Yr.,OR-2015,7/28/2025 12:10,2015@ustp.edu.ph,9170002015
6,2016,"VALENZUELA, Mia",BSIT,F,2nd Yr.,OR-2016,7/28/2025 12:15,2016@ustp.edu.ph,9170002016
7,2017,"MENDOZA, Leo",BSIT,M,2nd Yr.,OR-2017,7/28/2025 12:20,2017@ustp.edu.ph,9170002017
8,2018,"CASTILLO, Chloe",BSIT,F,2nd Yr.,OR-2018,7/28/2025 12:25,2018@ustp.edu.ph,9170002018
9,2019,"AQUINO, Oliver",BSIT,M,2nd Yr.,OR-2019,7/28/2025 12:30,2019@ustp.edu.ph,9170002019
10,2020,"CORPUZ, Emma",BSIT,F,2nd Yr.,OR-2020,7/28/2025 12:35,2020@ustp.edu.ph,9170002020
11,2021,"RIVERA, Ethan",BSIT,M,2nd Yr.,OR-2021,7/28/2025 12:40,2021@ustp.edu.ph,9170002021
12,2022,"SY, Sophia",BSIT,F,2nd Yr.,OR-2022,7/28/2025 12:45,2022@ustp.edu.ph,9170002022
