3rd Year Expo,,,,,,
6/21/2026,,,,,,
Room 301,,,,,,
Time,Team Name,Project,Adviser,Team Members,Chair,Panel Member 1
9:00AM-9:30AM,Team CodeLearners,Smart Campus Navigator,Ricardo Fontanilla,Carlos Reyes,Maricel Suarez,Jonathan Beltran
,,,,Maria Santos,,
,,,,Juan Dela Cruz,,
,,,,Ana Mendoza,,
9:30AM-10:00AM,Team ByteForce,IoT-Based Smart Classroom Monitor,Ricardo Fontanilla,Jose Garcia,Maricel Suarez,Jonathan Beltran
,,,,Liza Torres,,
,,,,Mark Santos,,
,,,,Paul Reyes,,
10:00AM-10:30AM,Team NexGen,Interactive Campus Map,Ricardo Fontanilla,Grace Mendoza,Maricel Suarez,Jonathan Beltran
,,,,David Cruz,,
,,,,Sarah Lim,,
,,,,James Tan,,
