Stage,Date,Room,Time,Team Name,Capstone Project,Adviser,Team Members,Chair,Panel Member 1,Panel Member 2,Panel Member 3,Documenter
Concept Proposal,2026-06-18,Room 301,9:00AM-9:30AM,Team SkyLedger,Alumni Career Tracker,206,4011,207,208,209,210,211
Concept Proposal,2026-06-18,Room 301,9:00AM-9:30AM,Team SkyLedger,Alumni Career Tracker,206,4012,207,208,209,210,211
Concept Proposal,2026-06-18,Room 301,9:00AM-9:30AM,Team SkyLedger,Alumni Career Tracker,206,4013,207,208,209,210,211
Concept Proposal,2026-06-18,Room 301,9:00AM-9:30AM,Team SkyLedger,Alumni Career Tracker,206,4014,207,208,209,210,211
Concept Proposal,2026-06-18,Room 301,9:30AM-10:00AM,Team ByteForce,AI-Powered Attendance System,206,4015,207,208,209,210,211
Concept Proposal,2026-06-18,Room 301,9:30AM-10:00AM,Team ByteForce,AI-Powered Attendance System,206,4016,207,208,209,210,211
Concept Proposal,2026-06-18,Room 301,9:30AM-10:00AM,Team ByteForce,AI-Powered Attendance System,206,4017,207,208,209,210,211
Concept Proposal,2026-06-18,Room 301,9:30AM-10:00AM,Team ByteForce,AI-Powered Attendance System,206,4018,207,208,209,210,211
Concept Proposal,2026-06-18,Room 301,10:00AM-10:30AM,Team NexGen,Campus Lost and Found Portal,206,4019,207,208,209,210,211
Concept Proposal,2026-06-18,Room 301,10:00AM-10:30AM,Team NexGen,Campus Lost and Found Portal,206,4020,207,208,209,210,211
Concept Proposal,2026-06-18,Room 301,10:00AM-10:30AM,Team NexGen,Campus Lost and Found Portal,206,4021,207,208,209,210,211
Concept Proposal,2026-06-18,Room 301,10:00AM-10:30AM,Team NexGen,Campus Lost and Found Portal,206,4022,207,208,209,210,211
