OFFICIAL LIST OF ENROLLED STUDENTS,,,,,,,,,
2026-2027 ,1st Semester,,,,,,,,
,,,,,,,,,
Subject Code,IT301,,,,,,,,
Subject Title,Project Innovation and Technology 3,,,,,,,,
Academic Units,3,Lab Units,0,,,,,,
Credit Units,3,Lab Hours,0,,,,,,
Mode,Lecture and Laboratory,,,,,,,,
Instructor,Maricel Suarez,,,,,,,,
Class Section,BSIT-3A,,,,,,,,
Year Level,3rd Year,,,,,,,,
Schedule(s),M 1:00 PM - 3:00 PM,,,,,,,,
,,,,,,,,,
#,Student Number,Full Name,Program,Gender,Level,OR No.,Validation Date,Email,Contact
1,4081,"REYES, Carlos",BSIT,M,3rd Yr.,OR-4081,7/28/2025 11:47,4081@ustp.edu.ph,9170004081
2,4082,"SANTOS, Maria",BSIT,F,3rd Yr.,OR-4082,7/28/2025 11:50,4082@ustp.edu.ph,9170004082
3,4083,"DELA CRUZ, Juan",BSIT,M,3rd Yr.,OR-4083,7/28/2025 11:55,4083@ustp.edu.ph,9170004083
4,4084,"MENDOZA, Ana",BSIT,F,3rd Yr.,OR-4084,7/28/2025 12:01,4084@ustp.edu.ph,9170004084
